
{'data': '166.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '167.40s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '168.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '168.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '169.19s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '169.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '170.40s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '174.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '174.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '177.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '177.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '178.19s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '178.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '179.40s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '180.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '180.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '181.19s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '181.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '182.40s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '183.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '183.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '184.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '185.40s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '186.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '186.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '187.19s: YELLOW - (-1.0, -2.0)m/s2', 'type': 'chat_data'}
{'data': '187.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '188.40s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '189.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '192.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '192.59s: YELLOW - (-1.0, -2.0)m/s2', 'type': 'chat_data'}
{'data': '193.19s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '193.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '194.40s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '198.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '198.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '199.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '201.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '201.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '202.19s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '202.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '203.40s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '204.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '204.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '207.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '208.19s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '208.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '209.40s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '210.0s: YELLOW - (-1.0, -2.0)m/s2', 'type': 'chat_data'}
{'data': '210.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '211.19s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
